Precio,Comuna,Dormitorios,Banos,Area Construida,Area Total,Estacionamientos
640620000,LasCondes,6,4.0,240.0,226.0,4.0
1103290000,LasCondes,4,4.0,380.0,960.0,3.0
925340000,LasCondes,4,2.0,300.0,1250.0,8.0
66000000,PuenteAlto,3,1.0,70.0,114.0,1.0
220000000,Pudahuel,4,3.0,115.0,212.0,2.0
1245650000,LasCondes,7,4.0,250.0,960.0,4.0
925340000,Providencia,5,4.0,240.0,500.0,5.0
1850680000,LoBarnechea,6,6.0,450.0,2800.0,11.0
2099810000,LasCondes,5,5.0,480.0,1240.0,10.0
1868475000,LasCondes,4,3.0,488.0,2421.0,8.0
1921860000,LasCondes,5,4.0,840.0,2300.0,9.0
726036000,LoBarnechea,6,3.0,250.0,649.0,6.0
484024000,Colina,4,6.0,160.0,825.0,4.0
484024000,Colina,4,6.0,220.0,825.0,4.0
957015100,LoBarnechea,4,4.0,290.0,720.0,4.0
907545000,LoBarnechea,4,4.0,365.0,1182.0,6.0
1637140000,Vitacura,4,4.0,402.0,795.0,5.0
1633581000,Vitacura,4,4.0,356.0,812.0,5.0
1170911000,LoBarnechea,5,4.0,304.0,600.0,4.0
1316474100,LoBarnechea,7,6.0,380.0,1012.0,6.0
73000000,LaPintana,4,1.0,66.0,100.0,1.0
1135321000,LoBarnechea,4,4.0,430.0,1600.0,6.0
1199383000,LoBarnechea,5,4.0,450.0,2000.0,5.0
658415000,LoBarnechea,4,3.0,222.0,766.0,6.0
971607000,LoBarnechea,5,5.0,280.0,800.0,4.0
2135400000,Vitacura,5,4.0,620.0,1600.0,12.0
996520000,LoBarnechea,4,3.0,260.0,830.0,2.0
150000000,Penaflor,3,3.0,93.0,93.0,2.0
127990000,Maipu,3,2.0,61.0,176.0,3.0
255322660,LaFlorida,4,3.0,174.0,209.0,2.0
75000000,ElBosque,4,2.0,140.0,162.0,2.0
67000000,Cerrillos,4,1.0,100.0,106.0,2.0
154900000,Nunoa,3,1.0,100.0,100.0,2.0
100719700,LaReina,3,1.0,110.0,220.0,1.0
86092210,PuenteAlto,2,1.0,98.0,169.0,1.0
412844000,Peñalolén,4,3.0,140.0,313.0,3.0
455552000,LaReina,5,4.0,160.0,286.0,3.0
201083500,Pudahuel,4,3.0,108.0,217.0,2.0
615707000,LaReina,4,3.0,176.0,600.0,4.0
56900000,Pudahuel,2,1.0,36.0,64.0,1.0
847042000,Vitacura,7,6.0,433.0,1008.0,10.0
1067700000,LoBarnechea,5,4.0,330.0,1000.0,5.0
811452000,LoBarnechea,4,5.0,260.0,1397.0,4.0
1779500000,LasCondes,7,5.0,470.0,1800.0,7.0
2131841000,LoBarnechea,8,7.0,692.0,2061.0,7.0
88000000,Quilicura,3,2.0,85.0,90.0,1.0
542747500,Colina,3,4.0,150.0,518.0,2.0
56000000,PuenteAlto,3,2.0,100.0,100.0,1.0
1014315000,LoBarnechea,5,4.0,300.0,1000.0,5.0
105000000,Estacion Central,2,2.0,107.0,110.0,1.0
142004100,Maipu,5,2.0,92.0,120.0,2.0
832806000,LoBarnechea,4,3.0,200.0,700.0,3.0
179195650,SanMiguel,3,2.0,133.0,256.0,3.0
765185000,Vitacura,4,4.0,225.0,504.0,4.0
1672730000,Vitacura,4,5.0,300.0,2400.0,4.0
1957450000,LoBarnechea,5,3.0,517.0,2977.0,5.0
990000000,Talagante,8,7.0,620.0,5000.0,12.0
989402000,LoBarnechea,4,4.0,337.0,809.0,3.0
540968000,LoBarnechea,5,3.0,153.0,193.0,2.0
587235000,LoBarnechea,5,4.0,171.0,434.0,3.0
854160000,LoBarnechea,6,5.0,260.0,1000.0,4.0
925340000,LoBarnechea,5,4.0,395.0,1050.0,4.0
1743910000,Vitacura,7,6.0,440.0,1100.0,5.0
516055000,Providencia,3,3.0,230.0,528.0,4.0
498260000,LasCondes,6,5.0,170.0,350.0,4.0
412844000,Pudahuel,4,2.0,140.0,780.0,3.0
232758600,Pudahuel,3,3.0,112.0,261.0,2.0
658415000,LasCondes,6,4.0,220.0,265.0,2.0
170000000,Maipu,5,2.0,127.0,210.0,2.0
352341000,Nunoa,2,3.0,96.0,123.0,1.0
711800000,LoBarnechea,4,4.0,275.0,921.0,5.0
1064141000,LoBarnechea,4,5.0,389.0,900.0,6.0
1028551000,LoBarnechea,6,4.0,500.0,5900.0,17.0
491142000,LasCondes,4,4.0,152.0,500.0,3.0
530291000,Colina,5,7.0,250.0,5000.0,4.0
675498200,Providencia,8,4.0,240.0,20.0,3.0
316751000,Peñalolén,5,4.0,140.0,256.0,2.0
160155000,PuenteAlto,3,3.0,92.0,180.0,2.0
145000000,LaFlorida,4,2.0,92.0,162.0,3.0
186847500,PuenteAlto,3,3.0,90.0,150.0,1.0
137000000,PuenteAlto,4,2.0,100.0,191.0,4.0
1280884100,Peñalolén,7,7.0,450.0,4000.0,6.0
779421000,Colina,6,5.0,370.0,5000.0,2.0
195745000,Maipu,3,1.0,94.0,267.0,2.0
249130000,Huechuraba,4,2.0,118.0,200.0,2.0
551645000,LoBarnechea,4,3.0,164.0,220.0,2.0
484024000,Vitacura,3,3.0,125.0,256.0,2.0
1957450000,LoBarnechea,6,5.0,604.0,4720.0,8.0
1085495000,LoBarnechea,6,5.0,306.0,1137.0,5.0
1316830000,LoBarnechea,7,5.0,495.0,7200.0,11.0
889750000,Vitacura,8,5.0,220.0,455.0,6.0
1423600000,LoBarnechea,4,4.0,328.0,924.0,6.0
200000000,Cerrillos,6,3.0,183.0,282.0,2.0
1423600000,LoBarnechea,4,3.0,236.0,936.0,5.0
52317300,Cerrillos,2,1.0,100.0,120.0,1.0
850000000,Maipu,6,2.0,300.0,1500.0,5.0
565881000,Vitacura,4,3.0,140.0,270.0,2.0
694005000,LoBarnechea,5,4.0,205.0,480.0,2.0
675854100,LoBarnechea,5,4.0,176.0,469.0,2.0
230000000,Recoleta,3,2.0,180.0,254.0,2.0
1600482300,LoBarnechea,8,8.0,660.0,1294.0,8.0
1939655000,LoBarnechea,7,7.0,467.0,1301.0,6.0
1323948000,LoBarnechea,3,3.0,428.0,1800.0,6.0
1099731000,LoBarnechea,5,7.0,330.0,970.0,3.0
889750000,LoBarnechea,7,4.0,327.0,950.0,5.0
597912000,LaReina,5,3.0,225.0,486.0,3.0
2128282000,LoBarnechea,6,6.0,614.0,1644.0,5.0
1565960000,LoBarnechea,7,8.0,560.0,1300.0,8.0
836365000,LoBarnechea,5,5.0,260.0,694.0,2.0
57000000,Lampa,4,2.0,57.0,79.0,2.0
135000000,Renca,3,3.0,83.0,120.0,3.0
553424500,Nunoa,6,4.0,242.0,443.0,4.0
460890500,LasCondes,4,2.0,135.0,319.0,2.0
423521000,Vitacura,4,3.0,140.0,303.0,2.0
960930000,LaReina,5,5.0,297.0,780.0,6.0
1281240000,Vitacura,7,5.0,360.0,578.0,2.0
676210000,LoBarnechea,6,5.0,250.0,464.0,2.0
498260000,Vitacura,5,3.0,170.0,210.0,2.0
871955000,LoBarnechea,4,3.0,300.0,1220.0,3.0
701123000,LoBarnechea,5,5.0,215.0,611.0,3.0
925340000,Providencia,6,5.0,294.0,551.0,3.0
711800000,LoBarnechea,5,5.0,200.0,539.0,2.0
494701000,Colina,5,5.0,166.0,619.0,2.0
729595000,LoBarnechea,5,6.0,227.0,532.0,2.0
491142000,LoBarnechea,5,5.0,180.0,216.0,2.0
533850000,LoBarnechea,6,5.0,162.0,216.0,2.0
779421000,Vitacura,4,3.0,140.0,420.0,2.0
996520000,Vitacura,6,5.0,344.0,1050.0,4.0
711800000,LasCondes,6,4.0,210.0,480.0,2.0
921781000,LasCondes,5,5.0,266.0,836.0,3.0
1067700000,LasCondes,5,5.0,433.0,1127.0,4.0
1049905000,LoBarnechea,6,4.0,415.0,1261.0,4.0
500000000,Providencia,6,4.0,325.0,125.0,1.0
140000000,SanJoaquín,4,2.0,90.0,198.0,2.0
560000000,Estacion Central,6,3.0,484.0,437.0,4.0
782980000,LoBarnechea,3,2.0,168.0,1246.0,4.0
327428000,LaFlorida,4,2.0,115.0,307.0,2.0
853448200,LasCondes,4,5.0,280.0,515.0,2.0
280000000,LaFlorida,4,2.0,139.0,199.0,2.0
160155000,PuenteAlto,4,3.0,96.0,148.0,1.0
391134100,LaFlorida,5,3.0,155.0,299.0,4.0
177950000,LaFlorida,3,3.0,90.0,100.0,1.0
320310000,LaFlorida,4,2.0,120.0,288.0,3.0
170000000,LaFlorida,4,2.0,127.0,370.0,3.0
533850000,Providencia,4,2.0,135.0,356.0,3.0
260000000,Maipu,4,2.0,160.0,260.0,2.0
183288500,Maipu,3,3.0,90.0,180.0,2.0
263366000,Peñalolén,4,2.0,110.0,278.0,2.0
273687100,LaReina,3,2.0,87.0,158.0,2.0
516055000,LaReina,5,3.0,163.0,497.0,3.0
448434000,Nunoa,5,3.0,167.0,228.0,4.0
310000000,Peñalolén,4,3.0,189.0,200.0,3.0
228000000,SanMiguel,3,2.0,125.0,300.0,3.0
205000000,SanMiguel,5,3.0,163.0,175.0,3.0
960930000,Providencia,4,3.0,300.0,380.0,3.0
380813000,LasCondes,4,2.0,105.0,220.0,2.0
480465000,IsladeMaipo,4,3.0,350.0,5000.0,4.0
151257500,Estacion Central,5,3.0,115.0,155.0,3.0
2016956480,LaReina,4,4.0,228.0,4928.0,5.0
1245650000,LoBarnechea,7,6.0,670.0,2150.0,8.0
504666200,LasCondes,4,2.0,102.0,210.0,1.0
231335000,Peñalolén,3,2.0,130.0,200.0,2.0
1316830000,LoBarnechea,7,7.0,350.0,3500.0,6.0
491142000,Vitacura,5,3.0,140.0,200.0,2.0
130000000,Huechuraba,5,2.0,75.0,144.0,1.0
82000000,PuenteAlto,2,1.0,38.0,124.0,1.0
170000000,Quilicura,3,1.0,87.0,350.0,1.0
270484000,Peñalolén,4,3.0,147.0,176.0,3.0
740272000,LaReina,6,5.0,270.0,573.0,4.0
854160000,LaReina,5,4.0,240.0,600.0,7.0
55000000,Colina,2,2.0,59.0,67.0,1.0
213540000,Huechuraba,3,3.0,110.0,200.0,2.0
546306500,LasCondes,4,4.0,181.0,252.0,2.0
882632000,LasCondes,5,5.0,270.0,820.0,5.0
797216000,LasCondes,6,4.0,190.0,398.0,2.0
996164100,LasCondes,5,4.0,259.0,633.0,4.0
1103290000,LasCondes,5,5.0,400.0,1000.0,4.0
1242091000,LasCondes,4,5.0,330.0,600.0,4.0
1032110000,LasCondes,4,4.0,260.0,1154.0,3.0
1032110000,LoBarnechea,4,4.0,360.0,1000.0,6.0
1388010000,LoBarnechea,5,4.0,470.0,980.0,7.0
971607000,LoBarnechea,5,4.0,228.0,837.0,2.0
1242091000,LasCondes,6,6.0,443.0,943.0,4.0
658059100,LoBarnechea,4,4.0,235.0,502.0,3.0
1024992000,LoBarnechea,4,4.0,363.0,1200.0,5.0
864837000,LoBarnechea,5,5.0,374.0,1126.0,10.0
395049000,LoBarnechea,4,3.0,136.0,110.0,2.0
180000000,Peñalolén,7,3.0,114.0,162.0,1.0
1033747140,LoBarnechea,3,3.0,254.0,529.0,3.0
764829100,LasCondes,4,3.0,172.0,374.0,3.0
697208100,LoBarnechea,5,4.0,214.0,614.0,2.0
765185000,LoBarnechea,6,4.0,205.0,491.0,2.0
1167352000,LoBarnechea,5,4.0,310.0,735.0,4.0
533850000,LoBarnechea,5,3.0,150.0,320.0,2.0
1348505100,Vitacura,5,4.0,253.0,2900.0,8.0
169999990,PuenteAlto,3,3.0,97.0,137.0,1.0
352341000,LaReina,3,2.0,92.0,420.0,5.0
1206501000,LoBarnechea,5,4.0,330.0,753.0,3.0
1135321000,LoBarnechea,5,5.0,273.0,731.0,3.0
